season,player,school,position,first,second,third,points,source
2020,Najee Harris,Alabama,RB,16,47,74,216,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Breece Hall,Iowa State,RB,6,10,26,64,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Justin Fields,Ohio State,QB,5,6,21,48,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Zach Wilson,BYU,QB,3,6,21,42,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Ian Book,Notre Dame,QB,5,5,13,38,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2020,Kyle Pitts,Florida,TE,0,7,10,24,https://en.wikipedia.org/wiki/2020_NCAA_Division_I_FBS_football_season
2021,Bryce Young,Alabama,QB,684,107,45,2311,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Aidan Hutchinson,Michigan,DE,78,273,174,954,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Kenny Pickett,Pittsburgh,QB,28,175,197,631,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,C. J. Stroud,Ohio State,QB,12,118,127,399,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Will Anderson Jr.,Alabama,LB,31,79,74,325,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Kenneth Walker III,Michigan State,RB,18,53,85,245,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Matt Corral,Ole Miss,QB,10,32,56,150,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Desmond Ridder,Cincinnati,QB,5,15,36,81,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Jordan Davis,Georgia,DT,9,15,18,75,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2021,Breece Hall,Iowa State,RB,0,5,7,17,https://en.wikipedia.org/wiki/2021_NCAA_Division_I_FBS_football_season
2022,Caleb Williams,USC,QB,544,168,63,2031,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Max Duggan,TCU,QB,188,357,142,1420,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,C. J. Stroud,Ohio State,QB,37,119,190,539,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Stetson Bennett,Georgia,QB,36,65,111,349,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Hendon Hooker,Tennessee,QB,17,47,81,226,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
2022,Bryce Young,Alabama,QB,17,28,34,141,https://en.wikipedia.org/wiki/2022_NCAA_Division_I_FBS_football_season
